time,open_price,high_price,low_price,close_price,volume,vector_color,lowest_low,symbol,interval,ema_5,ema_13,ema_50,ema_100,ema_200,ema_800,Kerze,lower_low,lower_low_start,lower_low_ende,w1,w_middle,w2
1705821300000,41596.55,41630.0,41587.27,41629.99,66.2531,lightgrey,,BTCUSDT,15m,41629.99,41629.99,41629.99,41629.99,41629.99,41629.99,Grün,,,,,,
1705822200000,41630.0,41669.94,41629.99,41651.11,62.12878,lightgrey,,BTCUSDT,15m,41637.03,41633.00714285714,41630.818235294115,41630.40821782178,41630.20014925373,41630.042734082395,Grün,,,,,,
1705823100000,41651.11,41656.8,41645.04,41648.51,39.86989,darkgrey,,BTCUSDT,15m,41640.856666666674,41635.221836734694,41631.512029988466,41630.76666895402,41630.38233682335,41630.08884460903,Rot,,,,,,
1705824000000,41648.5,41701.87,41648.5,41696.56,106.2507,lightgrey,,BTCUSDT,15m,41659.42444444445,41643.98443148688,41634.06293077323,41632.06950719255,41631.04082103406,41630.25481503448,Grün,,,,,,
1705824900000,41696.56,41710.0,41692.0,41700.01,89.65585,lightgrey,,BTCUSDT,15m,41672.95296296297,41651.98808413161,41636.64909035075,41633.41486348576,41631.72708152128,41630.42898528408,Grün,,,,,,
1705825800000,41700.0,41708.02,41673.99,41674.0,154.91992,darkgrey,,BTCUSDT,15m,41673.30197530865,41655.13264354139,41638.113831905626,41634.21852955536,41632.147707575794,41630.537776831436,Rot,,AA,,,,
1705826700000,41674.0,41680.0,41661.7,41663.96,73.03466,darkgrey,,BTCUSDT,15m,41670.1879835391,41656.393694464045,41639.127407125015,41634.80746956416,41632.464247798925,41630.6212280753,Rot,LL,,,,,
1705827600000,41663.96,41737.4,41663.96,41677.11,107.47524,lightgrey,,BTCUSDT,15m,41672.495322359406,41659.35316668347,41640.61692057109,41635.64514343418,41632.90848413923,41630.73730490907,Grün,,,,,,
1705828500000,41677.12,41706.26,41666.14,41698.51,75.78876,lightgrey,,BTCUSDT,15m,41681.16688157294,41664.94700001441,41642.887237411436,41636.88999207905,41633.56123554083,41630.90652512153,Grün,,,EE,,,
1705829400000,41698.51,41711.1,41694.28,41709.38,108.16124,lightgrey,,BTCUSDT,15m,41690.57125438196,41671.29457144092,41645.49479672864,41638.325437780455,41634.315651107594,41631.10246388527,Grün,,,,,,
